sentence,label
He is the smartest student in our school.,be-IND-PRES-3SGNOM he-NOM DEF-student-SING-NOM DEF-smart-SING-SUP-NOM in school-SING-GEN we-GEN.
The new phone is twice as expensive as the old model.,be-IND-PRES-3SGNOM DEF-phone-SING-NOM DEF-new-SING-NOM expensive-SING-COMP-NOM as DEF-model-SING-GEN DEF-old-SING-GEN twice.
Today is the hottest day of the year so far.,be-IND-PRES-3SGNOM today-NOM DEF-day-SING-NOM DEF-hot-SING-SUP-NOM DEF-year-SING-GEN so far.
This exercise is the easiest one in the whole book.,be-IND-PRES-3SGNOM exercise-SING-NOM this-SING-NOM DEF-easy-SING-SUP-NOM in DEF-book-SING-GEN DEF-whole-SING-GEN.
This is the most delicious cake I've ever tasted.,be-IND-PRES-3SGNOM this-SING-NOM DEF-cake-SING-NOM DEF-delicious-SING-SUP-NOM REL taste-ACT-PAST-1SGNOM i-NOM ever.
The leaves fall from the trees in autumn.,fall-ACT-IND-PRES-3PLNOM DEF-leaf-PLUR-NOM from DEF-tree-PLUR-GEN in autumn-SING-GEN.
The children played in the park.,play-ACT-IND-PAST-3PLNOM DEF-child-PLUR-NOM in DEF-park-SING-GEN.
The wind blows strongly today.,blow-ACT-IND-PRES-3SGNOM DEF-wind-SING-NOM strongly today.
He lent his bicycle to his cousin.,lend-ACT-IND-PAST-3SGNOM he-NOM bicycle-SING-ACC he-GEN to cousin-SING-GEN he-GEN.
The movie starts at eight o'clock.,start-ACT-IND-PRES-3SGNOM DEF-movie-SING-NOM at eight o'clock.
"We're going on vacation next week, so the office will be closed.","go-ACT-IND-FUT-1PLNOM we-NOM on vacation-SING-GEN week next, so be-FUT-3SGNOM DEF-office-SING-NOM closed-SING-NOM."
We've decided to go with a different contractor for this project.,decide-ACT-IND-PAST-1PLNOM we-NOM go-ACT-SUB-PRES-1PLNOM with contractor-SING-GEN different-SING-GEN for project-SING-GEN this-GEN.
Our country needs to address climate change together.,need-ACT-IND-PRES-3SGNOM country-SING-NOM we-GEN address-ACT-SUB-PRES-3SGNOM change-SING-ACC climate-SING-GEN together.
"We're moving to a new office, but your department will stay here.","move-ACT-IND-FUT-1PLNOM we-NOM to office-SING-GEN new-SING-GEN, but stay-ACT-IND-FUT-3SGNOM department-SING-NOM you-GEN here."
"We're going to the movies later, want to join us?","go-ACT-IND-FUT-1PLNOM we-NOM to DEF-movie-PLUR-GEN later, want-ACT-IND-PRES-2SGNOM you-NOM join-ACT-SUB-PRES-2SGNOM we-ACC?"
She doesn't like spicy food.,NEG like-ACT-IND-PRES-3SGNOM she-NOM food-SING-ACC spicy-SING-ACC.
He isn't interested in playing sports.,NEG be-IND-PRES-3SGNOM he-NOM interested in playing sport-PLUR-ACC.
I can't swim very well.,NEG can-ACT-IND-PRES-1SGNOM i-NOM swim-ACT-SUB-PRES-1SGNOM well very.
