sentence,label
He is the smartest student in our school.,he be student smart SUP in school we.
The new phone is twice as expensive as the old model.,phone new be expensive twice as model old.
Today is the hottest day of the year so far.,today be day hot SUP year so far.
This exercise is the easiest one in the whole book.,exercise this be easy SUP in book whole.
This is the most delicious cake I've ever tasted.,this be cake delicious SUP REL I taste ever.
The leaves fall from the trees in autumn.,leaf fall from tree in autumn.
The children played in the park.,child play in park.
The wind blows strongly today.,wind blow strongly today.
He lent his bicycle to his cousin.,he lend bicycle he to cousin he.
The movie starts at eight o'clock.,movie start at o'clock eight.
"We're going on vacation next week, so the office will be closed.","we go on vacation next week, so office closed."
We've decided to go with a different contractor for this project.,we decide go with contrctor different for project this.
Our country needs to address climate change together.,country our need adress change climate together.
"We're moving to a new office, but your department will stay here.","we move to office new, but department you stay here."
"We're going to the movies later, want to join us?","we go to movie later, want join we?"
She doesn't like spicy food.,she NEG like food spicy.
He isn't interested in playing sports.,he NEG interested in play sport.
I can't swim very well.,i NEG can swim very well.
The cat won't eat its food.,cat NEG eat food it.
The plants don't get enough sunlight here.,plant NEG get sunlight enough here.
The leaves rustled in the wind.,leaf rustle in wind.
Many flowers bloom in the garden.,flower many bloom in garden.
We bought two loaves of bread.,we buy two loaf bread.
The stars twinkled in the night sky.,star twinkle in sky night.
We planted two tomato plants in the garden.,we plant two plant tomato in garden.
We found a treasure map in the attic.,we find map treasure in attic.
She wrote the letter with a blue pen.,she write letter with pen blue.
They built the sandcastle with plastic shovels.,they build sandcastle with shovel plastic.
The old man lived in a small cottage.,man old live in cottage small.
We had a picnic in the sunny meadow.,we have picnic in meadow sunny.
"The children built a snowman, and it melted the next day.","child build snowman, and it melt day next."
"Thou art a true friend, always there when I need thee.","thou be friend true, always there when i need thou."
The cat chased the mouse until it ran into a small hole.,cat chase mouse until it run into hole small.
We saw them at the grocery store while shopping for vegetables.,we see they at store grocery while shop for vegetable.
They invited us to their house for a delicious dinner party.,they invite we to house they for party dinner delicious.
I have been waiting for the bus for 30 minutes.,i wait for bus for 30 minutes.
I am going to start a new job next month.,i start job new month next.
I used to play the piano when I was younger.,i play piano when i young more.
We went to the movies last night.,we go to movie last night.
They are playing soccer in the park.,they play soccer in park.
A new species of frog was discovered by the scientist.,scientist discover species new frog.
The teacher graded the tests last night.,teacher grade test night last.
The dog buried the bone in the backyard.,dog bury bone in backyard.
Sarah baked a delicious cake for the party.,Sarah bake cake delicious for party.
The students elected Sarah as class president.,student elect Sarah as president class.
