sentence,label
He is the smartest student in our school.,DEF-ABS-SING-student ABS-he DEF-SUP-ABS-SING-smart LOC-SING-school LOC-SING-our PRES-3SGABS-IND-be.
The new phone is twice as expensive as the old model.,twice EQU-ABS-SING-expensive DEF-ABS-SING-model DEF-ABS-SING-new DEF-INS-SING-model DEF-INS-SING-old as PRES-3SGABS-IND-be.
Today is the hottest day of the year so far.,DEF-ABS-SING-day DEF-SUP-ABS-SING-hot DEF-GEN-SING-year ABS-today so far PRES-3SGABS-IND-be.
This exercise is the easiest one in the whole book.,DEF-ABS-SING-one DEF-SUP-ABS-SING-easy ABS-SING-exercise ABS-SING-this DEF-LOC-SING-book DEF-LOC-SING-whole PRES-3SGABS-IND-be.
This is the most delicious cake I've ever tasted.,ever ERG-i RECPAST-1SGERG-ACT-IND-taste DEF-ABS-SING-cake-REL SUP-DEF-ABS-SING-delicious ABS-SING-this PRES-3SGABS-IND-be.
The leaves fall from the trees in autumn.,DEF-ABL-PLUR-tree DEF-ABS-PLUR-leaf LOC-SING-autumn PRES-3PLABS-IND-fall.
The children played in the park.,DEF-ABS-PLUR-child DEF-LOC-SING-park RECPAST-3PLABS-IND-play.
The wind blows strongly today.,DEF-ABS-SING-wind strongly today PRES-3SGABS-IND-blow.
He lent his bicycle to his cousin.,ACC-SING-bicycle ACC-SING-his ERG-he DAT-SING-cousin DAT-SING-his RECPAST-3SGERG-IND-ACT-lend.
The movie starts at eight o'clock.,DEF-ABS-SING-movie LOC-o'clock LOC-eight PRES-3SGABS-IND-start.
"We're going on vacation next week, so the office will be closed.","ABS-we INS-SING-vacation on INS-SING-week INS-SING-next FUT-1PLABS-IND-go, so ABS-SING-closed DEF-ABS-SING-office FUT-3SGABS-IND-be."
We've decided to go with a different contractor for this project.,INS-SING-project INS-SING-this for INDEF-INS-SING-contractor INDEF-INS-SING-different INF-go ERG-we RECPAST-1PLERG-IND-ACT-decide.
Our country needs to address climate change together.,ABS-SING-change ABS-SING-climate together INF-ACT-address ERG-SING-country ERG-SING-our PRES-3SGERG-IND-ACT-need.
"We're moving to a new office, but your department will stay here.","ABS-we INDEF-INS-SING-office INDEF-INS-SING-new to FUT-1PLABS-IND-move, but ABS-SING-department ABS-SING-your here FUT-3SGABS-IND-stay."
"We're going to the movies later, want to join us?","ABS-we DEF-INS-PLUR-movie to later FUT-1PLABS-IND-go, ABS-we INF-ACT-join PRES-2SGERG-IND-ACT-want?"
She doesn't like spicy food.,ABS-SING-food ABS-SING-spicy ERG-she PRES-3SGERG-IND-ACT-like-NEG.
He isn't interested in playing sports.,ABS-PLUR-sport INF-play in ABS-SING-interested ABS-he PRES-3SGABS-IND-be-NEG.
I can't swim very well.,very well INF-swim ABS-i PRES-1SGABS-IND-can-NEG.
The cat won't eat its food.,ABS-SING-food ABS-SING-its DEF-ERG-SING-cat FUT-3SGERG-IND-ACT-eat-NEG.
The plants don't get enough sunlight here.,ABS-sunlight ABS-enough DEF-ERG-PLUR-plant here PRES-3PLERG-IND-ACT-get-NEG.
The leaves rustled in the wind.,DEF-ABS-PLUR-leaf DEF-LOC-SING-wind RECPAST-3PLABS-IND-rustle.
Many flowers bloom in the garden.,INDEF-ABS-PLUR-flower INDEF-ABS-PLUR-many DEF-LOC-SING-garden PRES-3PLABS-IND-bloom.
We bought two loaves of bread.,INDEF-ABS-PLUR-loaf INDEF-ABS-two INDEF-GEN-SING-bread ERG-we RECPAST-1PLERG-IND-ACT-buy.
The stars twinkled in the night sky.,DEF-ABS-PLUR-star DEF-LOC-SING-sky DEF-LOC-SING-night RECPAST-3PLABS-IND-twinkle.
We planted two tomato plants in the garden.,INDEF-ABS-PLUR-plant INDEF-ABS-PLUR-tomato INDEF-ABS-two ERG-we DEF-LOC-SING-garden RECPAST-1PLERG-IND-ACT-plant.
We found a treasure map in the attic.,INDEF-ABS-SING-map INDEF-ABS-SING-treasure ERG-we DEF-LOC-SING-attic RECPAST-1PLERG-IND-ACT-find.
She wrote the letter with a blue pen.,INDEF-INS-SING-blue ERG-she DEF-ABS-SING-letter INDEF-INS-SING-pen RECPAST-3SGERG-IND-ACT-write.
They built the sandcastle with plastic shovels.,DEF-ABS-SING-sandcastle ERG-they INDEF-INS-PLUR-shovel INDEF-INS-PLUR-plastic RECPAST-3PLERG-IND-ACT-build.
The old man lived in a small cottage.,DEF-ABS-SING-man INDEF-LOC-SING-cottage INDEF-LOC-SING-small DEF-ABS-SING-old RECPAST-3SGABS-IND-live.
We had a picnic in the sunny meadow.,INDEF-ABS-SING-picnic ERG-we DEF-LOC-SING-meadow DEF-LOC-SING-sunny RECPAST-1PLERG-IND-ACT-have.
"The children built a snowman, and it melted the next day.","INDEF-ABS-SING-snowman DEF-ERG-PLUR-child RECPAST-3PLERG-IND-ACT-build, and ABS-it DEF-INS-SING-day DEF-INS-SING-next RECPAST-3SGABS-IND-melt."
"Thou art a true friend, always there when I need thee.","INDEF-ABS-SING-friend INDEF-ABS-SING-true ABS-thou PRES-2SGABS-IND-be, ABS-thou ERG-i PRES-1SGERG-IND-ACT-need when always there."
The cat chased the mouse until it ran into a small hole.,DEF-ABS-SING-mouse INDEF-INS-SING-hole INDEF-INS-SING-small into RECPAST-3SGABS-IND-run until DEF-SING-ERG-cat RECPAST-3SGERG-IND-ACT-chase.
We saw them at the grocery store while shopping for vegetables.,DEF-LOC-SING-store DEF-LOC-SING-grocery INDEF-INS-PLUR-vegetable for shop-INF while ABS-they ERG-we RECPAST-1PLERG-IND-ACT-see.
They invited us to their house for a delicious dinner party.,ABS-we ERG-they INS-SING-house INS-SING-their to INDEF-INS-SING-party INDEF-INS-SING-dinner INDEF-INS-SING-delicious for RECPAST-3PLERG-IND-ACT-invite.
I have been waiting for the bus for 30 minutes.,ABS-i DEF-INS-SING-bus for INDEF-INS-PLUR-minute INDEF-INS-30 for PRES-1SGABS-IND-wait.
I am going to start a new job next month.,INDEF-ABS-SING-job INDEF-ABS-SING-new ERG-i INS-SING-month INS-SING-next FUT-1SGERG-IND-ACT-start.
I used to play the piano when I was younger.,COMP-ABS-SING-young ABS-i REMPAST-1SGABS-IND-be when DEF-ABS-SING-piano ERG-i REMPAST-1SGERG-IND-ACT-play.
We went to the movies last night.,ABS-we DEF-INS-PLUR-movie to INS-SING-night INS-SING-last RECPAST-1PLABS-IND-go.
They are playing soccer in the park.,ABS-soccer ERG-they DEF-LOC-SING-park PRES-3PLERG-IND-ACT-play.
A new species of frog was discovered by the scientist.,INDEF-ABS-SING-species INDEF-ABS-SING-new INDEF-GEN-SING-frog DEF-INS-SING-scientist by RECPAST-3SGABS-IND-PASS-discover.
The teacher graded the tests last night.,DEF-ABS-PLUR-test DEF-ERG-SING-teacher INS-SING-night INS-SING-last RECPAST-3SGERG-IND-ACT-grade.
The dog buried the bone in the backyard.,DEF-ABS-SING-bone DEF-ERG-SING-dog DEF-LOC-SING-backyard RECPAST-3SGERG-IND-ACT-bury.
Sarah baked a delicious cake for the party.,INDEF-ABS-SING-cake INDEF-ABS-SING-delicious ERG-Sarah DEF-INS-SING-party for RECPAST-3SGERG-IND-ACT-bake.
The students elected Sarah as class president.,ABS-Sarah DEF-ERG-PLUR-student INS-SING-president INS-SING-class as RECPAST-3PLERG-IND-ACT-elect.
