sentence,label
He is the smartest student in our school.,SUP smart student-SING be-NPAST-3SGNOM he in our school-SING.
The new phone is twice as expensive as the old model.,twice as expensive be-NPAST-3SGNOM new phone-SING as old model-SING.
Today is the hottest day of the year so far.,year SUP hot day-POSS be-NPAST-3SGNOM today so far.
This exercise is the easiest one in the whole book.,SUP easy one-SING be-NPAST-3SGNOM this exercise-SING in whole book-SING.
This is the most delicious cake I've ever tasted.,taste-RECPAST-1SGNOM-REL ever SUP delicious cake be-NPAST-3SGNOM this.
The leaves fall from the trees in autumn.,fall-NPAST-3PLNOM leaf-PLUR from tree-PLUR in autumn-SING.
The children played in the park.,play-RECPAST-3PLNOM child-PLUR in park-SING.
The wind blows strongly today.,blow-NPAST-3SGNOM wind-SING strongly today.
He lent his bicycle to his cousin.,his bicycle-SING lend-RECPAST-3SGNOM he to his cousin-SING.
The movie starts at eight o'clock.,start-NPAST-3SGNOM movie at eight o'clock.
"We're going on vacation next week, so the office will be closed.","go-NPAST-1PLNOM we on vacation-SING next week-SING, so closed-NPAST-3SGNOM office-SING."
We've decided to go with a different contractor for this project.,decide-RECPAST-1PLNOM we go-NPAST-1PLNOM with different contractor-SING for this project-SING.
Our country needs to address climate change together.,climate change-SING address together need-NPAST-3SGNOM our country-SING
"We're moving to a new office, but your department will stay here.","move-NPAST-1PLNOM we to new office-SING, but stay-NPAST-3SGNOM you department-SING-POSS here."
"We're going to the movies later, want to join us?","go-NPAST-1PLNOM we to movie later, we join want-NPAST-2SGNOM?"
She doesn't like spicy food.,spicy food-SING like-NEG-NPAST-3SGNOM she.
He isn't interested in playing sports.,interested be-NEG-NPAST-3SGNOM he in sport-PLUR play.
I can't swim very well.,swim can-NEG-NPAST-1SGNOM very well.
The cat won't eat its food.,its food-SING eat-NEG-NPAST-3SGNOM cat-SING.
The plants don't get enough sunlight here.,enough sunlight get-NEG-NPAST-3PLNOM plant-PLUR here.
The leaves rustled in the wind.,rustle-RECPAST-3PLNOM leaf-PLUR in wind-SING.
Many flowers bloom in the garden.,bloom-NPAST-3PLNOM many flower-PLUR in garden-SING.
We bought two loaves of bread.,two loaf-PLUR bread buy-RECPAST-1PLNOM we.
The stars twinkled in the night sky.,twinkle-RECPAST-3PLNOM star-PLUR in night sky-SING.
We planted two tomato plants in the garden.,two tomato plant-PLUR plant-RECPAST-1PLNOM we in garden-SING.
We found a treasure map in the attic.,treasure map-SING find-RECPAST-1PLNOM we in attic-SING.
She wrote the letter with a blue pen.,letter-SING write-RECPAST-3SGNOM she with blue pen-SING.
They built the sandcastle with plastic shovels.,sandcastle-SING build-RECPAST-3PLNOM they with plastic shovel-PLUR.
The old man lived in a small cottage.,live-RECPAST-3SGNOM old man-SING in small cottage-SING.
We had a picnic in the sunny meadow.,picnic-SING have-RECPAST-1PLNOM in sunny meadow-SING.
"The children built a snowman, and it melted the next day.","snowman-SING build-RECPAST-3PLNOM child-PLUR, and melt-RECPAST-3SGNOM next day-SING."
"Thou art a true friend, always there when I need thee.","true friend-SING be-NPAST-2SGNOM thou, thou need-NPAST-1SGNOM when always there be-NPAST-2SGNOM thou."
The cat chased the mouse until it ran into a small hole.,mouse-SING chase-RECPAST-3SGNOM cat-SING run-RECPAST-3SGNOM into small hole-SING until.
We saw them at the grocery store while shopping for vegetables.,they see-RECPAST-1PLNOM we at grocery store-SING vegetable-PLUR shop-RECPAST-1PLNOM we while.
They invited us to their house for a delicious dinner party.,we invite-RECPAST-3PLNOM they to their house-SING for delicious dinner party-SING.
I have been waiting for the bus for 30 minutes.,bus-SING wait-RECPAST-1SGNOM i for 30 minute-PLUR.
I am going to start a new job next month.,new job-SING start-NPAST-1SGNOM i next month-SING.
I used to play the piano when I was younger.,piano-SING play-REMPAST-1SGNOM i COMP young be-REMPAST-1SGNOM when.
We went to the movies last night.,go-RECPAST-1PLNOM we to movie-PLUR last night-SING.
They are playing soccer in the park.,soccer play-NPAST-3PLNOM they in park-SING.
A new species of frog was discovered by the scientist.,frog new species discover-RECPAST-3SGNOM scientist-SING.
The teacher graded the tests last night.,test-PLUR grade-RECPAST-3SGNOM teacher-SING last night.
The dog buried the bone in the backyard.,bone-SING bury-RECPAST-3SGNOM dog-SING in backyard-SING.
Sarah baked a delicious cake for the party.,delicious cake-SING bake-RECPAST-3SGNOM Sarah for party-SING.
The students elected Sarah as class president.,Sarah elect-RECPAST-3PLNOM student-PLUR as class president-SING.
