sentence,label
He is the smartest student in our school.,we-GEN school in student-ABS smart SUP he-ABS 3SGABS be.
The new phone is twice as expensive as the old model.,as model-ABS old twice expensive phone new-ABS 3SGABS be.
Today is the hottest day of the year so far.,so far year-GEN day-ABS hot SUP today-ABS 3SGABS be.
This exercise is the easiest one in the whole book.,book-ABS whole in easy SUP one-ABS exercise-ABS this 3SGABS be.
This is the most delicious cake I've ever tasted.,cake-ABS delicious SUP ever i-ERG 1SGERG taste-REL this-ABS 3SGABS be.
The leaves fall from the trees in autumn.,autumn-ABS in tree-ABS from leaf-ABS 3PLABS fall.
The children played in the park.,park-ABS in child-ABS 3PLABS play.
The wind blows strongly today.,today strongly wind-ABS 3SGABS blow.
He lent his bicycle to his cousin.,he-GEN cousin-ABS to he-GEN bicycle-ABS he-ERG 3SGERG lend.
The movie starts at eight o'clock.,eight o'clock at movie-ABS 3SGABS start.
"We're going on vacation next week, so the office will be closed.","week-ABS next vacation-ABS on we-ABS 1PLABS go, so closed office-ABS 3SGABS be."
We've decided to go with a different contractor for this project.,project-ABS this for contractor-ABS different with go we-ERG 1PLERG decide.
Our country needs to address climate change together.,together change climate-ABS address we-GEN country-ERG 3SGERG need.
"We're moving to a new office, but your department will stay here.","office-ABS new to we-ABS 1PLABS move, but here you-GEN office-ABS 3SGABS stay."
"We're going to the movies later, want to join us?","later movie-ABS to we-ABS 1PLABS go, we-ABS join you-ERG 2SGERG want?"
She doesn't like spicy food.,food-ABS spicy she-ERG 3SGERG like NEG.
He isn't interested in playing sports.,sport-ABS play in interested he-ABS 3SGABS be NEG.
I can't swim very well.,very well swim i-ABS 1SGABS can NEG.
The cat won't eat its food.,it-GEN food-ABS cat-ERG 3SGERG eat NEG.
The plants don't get enough sunlight here.,here sunlight-ABS enough plant-ERG 3PLERG get NEG.
The leaves rustled in the wind.,wind-ABS in leaf-ABS 3PLABS rustle.
Many flowers bloom in the garden.,garden-ABS in flower-ABS many 3PLABS bloom.
We bought two loaves of bread.,loaf-ABS two bread-ABS we-ERG 1PLERG buy.
The stars twinkled in the night sky.,sky-ABS night in star-ABS 3PLABS twinkle.
We planted two tomato plants in the garden.,garden-ABS in plant-ABS tomato two we-ERG 1PLERG plant.
We found a treasure map in the attic.,attic-ABS in map-ABS treasure we-ERG 1PLERG find.
She wrote the letter with a blue pen.,pen-ABS blue with letter-ABS she-ERG 3SGERG write.
They built the sandcastle with plastic shovels.,shovel-ABS plastic with sandcastle-ABS they-ERG 3PLERG build.
The old man lived in a small cottage.,cottage-ABS small in man-ABS old 3SGABS live.
We had a picnic in the sunny meadow.,meadow-ABS sunny in picnic-ABS we-ERG 1PLERG have.
"The children built a snowman, and it melted the next day.","snowman-ABS child-ERG 3PLERG build, and day-ABS next it-ABS 3SGABS melt."
"Thou art a true friend, always there when I need thee.","friend-ABS true you-ABS 2SGABS be, thou-ABS i-ERG 1SGERG need when always there thou-ABS 2SGABS be."
The cat chased the mouse until it ran into a small hole.,hole-ABS small into run until mouse-ABS cat-ERG 3SGABS 3SGERG chase.
We saw them at the grocery store while shopping for vegetables.,store-ABS grocery at vegetable-ABS for we-ERG 1PLERG shop while they-ABS 1PLERG see.
They invited us to their house for a delicious dinner party.,party-ABS dinner delicious for they-GEN house-ABS to we-ABS they-ERG 3PLERG invite.
I have been waiting for the bus for 30 minutes.,minute-ABS 30 for bus-ABS i-ERG 1SGERG wait.
I am going to start a new job next month.,month-ABS next job-ABS new i-ERG 1SGERG start.
I used to play the piano when I was younger.,young COMP i-ABS 1SGABS be when piano-ABS i-ERG 1SGERG play.
We went to the movies last night.,night-ABS last movie-ABS to we-ABS 1PLABS go.
They are playing soccer in the park.,park-ABS in soccer-ABS they-ERG 3PLERG play.
A new species of frog was discovered by the scientist.,frog-GEN species-ABS new scientist-ERG 3PLERG discover.
The teacher graded the tests last night.,night-ABS last test-ABS teacher-ERG 3SGERG grade.
The dog buried the bone in the backyard.,backyard-ABS in bone-ABS dog-ERG 3SGERG bury.
Sarah baked a delicious cake for the party.,party-ABS for cake-ABS delicious Sarah-ERG 3SGERG bake.
The students elected Sarah as class president.,president-ABS class as Sarah-ABS student-ERG 3PLERG elect.
