source_sentence,translation_gloss,label
"He is the smartest student in our school.","he be-PRES-3SG student-SING-ACT REL COMP smart in school-SING our.","he be-PRES-3SGNOM DEF-SING student-SING smart-SUP-SING in our-SING school-SING."
"The new phone is twice as expensive as the old model.","phone-SING REL new-SING be-PRES-3SG COMP expensive as as model-SING REL old-SING.","DEF-SING phone-SING new-SING be-PRES-3SGNOM twice EQU expensive-SING as DEF-SING model-SING old-SING."
"Today is the hottest day of the year so far.","today be-PRES-3SG day-SING-ACT REL SUP hot of year-SING so far.","today be-PRES-3SGNOM DEF-SING day-SING hot-SUP-SING of DEF-SING year-SING so far."
"This exercise is the easiest one in the whole book.","exercise-SING REL this be-PRES-3SG one-SING-ACT REL SUP easy in book-SING REL whole-SING.","exercise-SING this-SING be-PRES-3SGNOM DEF-SING one-SING easy-SUP-SING in DEF-SING book-SING whole-SING."
"This is the most delicious cake I've ever tasted.","this be-PRES-3SG cake-SING-ACT REL SUP delicious i have-PRES-PERF-1SG ever taste-IMPF.","this-SING be-PRES-3SGNOM the cake-SING delicious-SUP-SING i taste-PAST-1SG ever."
"The leaves fall from the trees in autumn.","leaf-PLUR-ACT fall-PRES-IMPF-3PL from tree-PLUR in autumn.","DEF-PLUR leaf-PLUR fall-PRES-3PLNOM from DEF-PLUR tree-PLUR in autumn-SING."
"The children played in the park.","child-PLUR-ACT play-PAST-IMPF-3PL in park-SING.","DEF-PLUR child-PLUR play-PAST-3PLNOM in DEF-SING park-SING."
"The wind blows strongly today.","wind-SING-ACT blow-PRES-IMPF-3SG strongly today.","DEF-SING wind-SING blow-PRES-3SGNOM strongly today."
"He lent his bicycle to his cousin.","he lend-PAST-IMPF-3SG bicycle-SING-ACT REL his to cousin-SING REL his.","he lend-PAST-3SGNOM his-SING bicycle-SING to his-SING cousin-SING."
"The movie starts at eight o'clock.","movie-SING-ACT start-PRES-IMPF-3SG at o'clock eight.","DEF-SING movie-SING start-PRES-3SGNOM at eight o'clock."
"We're going on vacation next week, so the office will be closed.","we be-PRES-1PL go-FUT-IMPF on vacation-SING next week, so office-SING-ACT will be-FUT-IMPF-3SG close.","we go-PRES-1PLNOM on vacation-SING week-SING next-SING, so DEF-SING office-SING close-PASS-FUT-3SGNOM."
"We've decided to go with a different contractor for this project.","we have-PRES-PERF-1PL decide-IMPF to go with contractor-SING REL different-SING for exercise-SING this.","we decide-PAST-1PLNOM go-INF with INDEF-SING contractor-SING different-SING for project-SING this-SING."
"Our country needs to address climate change together.","country-SING REL our need-PRES-IMPF-3SG to address-INF change-SING climate together.","our-SING country-SING need-PRES-3SGNOM address-INF change-SING climate-SING together."
"We're moving to a new office, but your department will stay here.","we be-PRES-1PL move-FUT-IMPF to office-SING REL new-SING, but department-SING REL your will stay-FUT-IMPF-3SG here.","we move-PRES-1PLNOM to INDEF-SING office-SING new-SING, but your-SING department-SING stay-FUT-3SGNOM here."
"We're going to the movies later, want to join us?","we be-PRES-1PL go-FUT-IMPF to movie-PLUR later, want-PRES-IMPF-2PL to join-INF us?","we go-PRES-1PLNOM to DEF-PLUR movie-PLUR later, want-PRES-2SGNOM join-INF we?"
"She doesn't like spicy food.","she like-PRES-IMPF-3SG food-SING REL spicy-SING NEG.","she like-PRES-3SGNOM NEG food-SING spicy-SING."
"He isn't interested in playing sports.","he interested-PRES-IMPF-3SG in play-INF sport-PLUR NEG.","he be-PRES-3SGNOM NEG interested-SING in play sport-PLUR."
"I can't swim very well.","i swim-PRES-IMPF-1SG very well NEG.","i can-PRES-1SGNOM NEG swim-INF well very."
"The cat won't eat its food.","cat-SING-ACT eat-FUT-IMPF-3SG food-SING REL its NEG.","DEF-SING cat-SING eat-FUT-3SGNOM NEG its-SING food-SING."
"The plants don't get enough sunlight here.","plant-PLUR-ACT get-PRES-IMPF-3PL sunlight-SING enough here NEG.","DEF-PLUR plant-PLUR get-PRES-3PLNOM NEG sunlight-SING enough-SING here."
"The leaves rustled in the wind.","leaf-PLUR-ACT rustle-PAST-IMPF-3PL in wind-SING.","DEF-PLUR leaf-PLUR rustle-PAST-3PLNOM in DEF-SING wind-SING."
"Many flowers bloom in the garden.","flower-PLUR many bloom-PRES-IMPF-3PL in garden-SING.","flower-PLUR many-PLUR bloom-PRES-3PLNOM in DEF-SING garden-SING."
"We bought two loaves of bread.","we buy-PAST-IMPF-1PL loaf-PLUR-ACT two of bread-SING.","we buy-PAST-1PLNOM two loaf-PLUR of bread-SING."
"The stars twinkled in the night sky.","star-PLUR-ACT twinkle-PAST-IMPF-3PL in sky-SING REL night.","DEF-PLUR star-PLUR twinkle-PAST-3PLNOM in DEF-SING sky-SING night."
"We planted two tomato plants in the garden.","we plant-PAST-IMPF-1PL plant-PLUR-ACT two tomato in garden-SING.","we plant-PAST-1PLNOM two plant-PLUR tomato in the garden-SING."
"We found a treasure map in the attic.","we find-PAST-IMPF-1PL map-SING-ACT REL treasure in attic-SING.","we find-PAST-1PLNOM INDEF-SING map-SING treasure in DEF-SING attic-SING."
"She wrote the letter with a blue pen.","she write-PAST-IMPF-3SG letter-SING-ACT with pen-SING REL blue-SING.","she write-PAST-3SGNOM DEF-SING letter-SING with INDEF-SING pen-SING blue-SING."
"They built the sandcastle with plastic shovels.","they build-PAST-IMPF-3PL sandcastle-SING-ACT with shovel-PLUR REL plastic-PLUR.","they build-PAST-3PLNOM DEF-SING sandcastle-SING with INDEF-PLUR shovel-PLUR plastic-PLUR."
"The old man lived in a small cottage.","man-SING REL old-SING live-PAST-IMPF-3SG in cottage-SING REL small-SING.","DEF-SING man-SING old-SING live-PAST-3SGNOM in INDEF-SING cottage-SING small-SING."
"We had a picnic in the sunny meadow.","we have-PAST-IMPF-1PL picnic-SING in meadow-SING REL sunny-SING.","we have-PAST-1PL picnic-SING in the meadow-SING sunny-SING."
"The children built a snowman, and it melted the next day.","child-PLUR-ACT build-PAST-IMPF-3PL snowman-SING-ACT, and it melt-PAST-IMPF-3SG day-SING REL next-SING.","DEF-PLUR child-PLUR build-PAST-3PLNOM INDEF-SING snowman-SING, and it melt-PAST-3SGNOM DEF-SING day-SING next-SING."
"Thou art a true friend, always there when I need thee.","thou be-PRES-IMPF-2SG friend-SING REL true-SING, always there when i need-PRES-IMPF-1SG thee.","thou be-PRES-2SGNOM INDEF-SING friend-SING true-SING, always there when i need-PRES-1SGNOM thou."
"The cat chased the mouse until it ran into a small hole.","cat-SING-ACT chase-PAST-IMPF-3SG mouse-SING-ACT until it run-PAST-IMPF-3SG into hole-SING REL small-SING.","DEF-SING cat-SING chase-PAST-3SGNOM DEF-SING mouse-SING until it run-PAST-3SGNOM into INDEF-SING hole-SING small-SING."
"We saw them at the grocery store while shopping for vegetables.","we see-PAST-IMPF-1PL them at store-SING REL grocery while shop for vegetable-PLUR.","we see-PAST-1PLNOM they at DEF-SING store-SING grocery while we shop-IMPF-1PLNOM for INDEF-PLUR vegetable-PLUR."
"They invited us to their house for a delicious dinner party.","they invite-PAST-IMPF-3PL us to house-SING REL their for party-SING REL dinner-SING REL delicious-SING.","they invite-PAST-3PLNOM we to their-SING house-SING for party-SING dinner delicious-SING."
"I have been waiting for the bus for 30 minutes.","i have-PRES-PERF-1SG be-IMPF wait for bus-SING for minute-PLUR 30.","i wait-PRES-1SGNOM for DEF-SING bus-SING for 30 minute-PLUR."
"I am going to start a new job next month.","i be-PRES-1SG go-FUT-IMPF to start-INF job-SING REL new-SING next month.","i start-FUT-1SGNOM INDEF-SING job-SING new-SING month-SING next-SING."
"I used to play the piano when I was younger.","i use-PAST-IMPF-1SG to play-INF piano-SING when i be-PAST-IMPF-1SG younger.","i play-IMPF-1SGNOM DEF-SING piano-SING when i be-IMPF-1SGNOM young-COMP-SING."
"We went to the movies last night.","we go-PAST-IMPF-1PL to movie-PLUR later night.","we go-PAST-1PLNOM to DEF-PLUR movie-PLUR night-SING last-SING."
"They are playing soccer in the park.","they be-PRES-3PL play-FUT-IMPF soccer in park-SING.","they play-PRES-3PLNOM soccer in DEF-SING park-SING."
"A new species of frog was discovered by the scientist.","species-SING REL new-SING of frog be-PAST-IMPF-3SG discover-PASS by scientist-SING-ACT.","INDEF-SING species-SING new-SING of frog-SING discover-PASS-PAST-3SGNOM by DEF-SING scientist-SING."
"The teacher graded the tests last night.","teacher-SING-ACT grade-PAST-IMPF-3SG test-PLUR-ACT last night.","DEF-SING teacher-SING grade-PAST-3SGNOM DEF-PLUR test-PLUR night-SING last-SING."
"The dog buried the bone in the backyard.","dog-SING-ACT bury-PAST-IMPF-3SG bone-SING-ACT in backyard-SING.","DEF-SING dog-SING bury-PAST-3SGNOM DEF-SING bone-SING in DEF-SING backyard-SING."
"Sarah baked a delicious cake for the party.","Sarah bake-PAST-IMPF-3SG cake-SING-ACT REL delicious-SING for party-SING.","Sarah bake-PAST-3SGNOM INDEF-SING cake-SING delicious-SING for DEF-SING party-SING."
"The students elected Sarah as class president.","student-PLUR-ACT elect-PAST-IMPF-3PL Sarah as president-SING REL class.","DEF-PLUR student-PLUR elect-PAST-3PLNOM Sarah as president-SING class-SING."
