sentence,label
He is the smartest student in our school.,3SGNOM be DEF student smart SUP he in school our.
The new phone is twice as expensive as the old model.,3SGNOM be twice expensive as DEF model old DEF phone new.
Today is the hottest day of the year so far.,3SGNOM be DEF day hot SUP of DEF year today so far.
This exercise is the easiest one in the whole book.,3SGNOM be DEF one easy SUP exercise this in DEF book whole.
This is the most delicious cake I've ever tasted.,3SGNOM be DEF cake delicious SUP 1SGNOM taste ever i this.
The leaves fall from the trees in autumn.,3PLNOM fall DEF leaf from DEF tree in autumn.
The children played in the park.,3PLNOM play DEF child in DEF park.
The wind blows strongly today.,3SGNOM blow wind strongly today.
He lent his bicycle to his cousin.,3SGNOM lend bicycle his he to cousin his.
The movie starts at eight o'clock.,3SGNOM start DEF movie at eight o'clock.
"We're going on vacation next week, so the office will be closed.","1PLNOM go on vacation week next, so 3SGNOM be closed DEF office."
We've decided to go with a different contractor for this project.,1PLNOM decide we go with contractor different for project this.
Our country needs to address climate change together.,3SGNOM need country our address change climate together.
"We're moving to a new office, but your department will stay here.","1PLNOM move we to office new, but 3SGNOM stay department your here."
"We're going to the movies later, want to join us?","1PLNOM go we to DEF movie later, 2SGNOM want you join we?"
She doesn't like spicy food.,NEG 3SGNOM like food spicy she.
He isn't interested in playing sports.,NEG 3SGNOM be interested he in play sport.
I can't swim very well.,NEG 1SGNOM can i swim very well.
The cat won't eat its food.,NEG 3SGNOM eat food its DEF cat.
The plants don't get enough sunlight here.,NEG 3PLNOM get sunlight enough DEF plant here.
The leaves rustled in the wind.,3PLNOM rustle DEF leaf in DEF wind.
Many flowers bloom in the garden.,3PLNOM bloom flower many in DEF garden.
We bought two loaves of bread.,1PLNOM buy two loaf bread we.
The stars twinkled in the night sky.,3PLNOM twinkle DEF star in DEF sky night.
We planted two tomato plants in the garden.,1PLNOM plant two plant tomato we in DEF garden.
We found a treasure map in the attic.,1PLNOM find map treasure we in DEF attic.
She wrote the letter with a blue pen.,3SGNOM write DEF letter she with pen blue.
They built the sandcastle with plastic shovels.,3PLNOM build DEF sandcastle they with shovel plastic.
The old man lived in a small cottage.,3SGNOM live DEF man old in cottage small.
We had a picnic in the sunny meadow.,1PLNOM have picnic we in DEF meadow sunny.
"The children built a snowman, and it melted the next day.","3PLNOM build snowman child, and 3SGNOM melt it DEF day next."
"Thou art a true friend, always there when I need thee.","2SGNOM friend true thou, always there when 1SGNOM need thou i."
The cat chased the mouse until it ran into a small hole.,3SGNOM chase DEF mouse DEF cat until 3SGNOM run it into hole small.
We saw them at the grocery store while shopping for vegetables.,1PLNOM see they we at DEF store grocery while 1PLNOM shop vegetable we.
They invited us to their house for a delicious dinner party.,3PLNOM invite we they to house they for party dinner delicious.
I have been waiting for the bus for 30 minutes.,1SGNOM wait i for DEF bus for 30 minute.
I am going to start a new job next month.,1SGNOM start job new i month next.
I used to play the piano when I was younger.,1SGNOM play DEF piano i when 1SGNOM be young COMP i.
We went to the movies last night.,1PLNOM go we to DEF movie night last.
They are playing soccer in the park.,3PLNOM play soccer they in DEF park.
A new species of frog was discovered by the scientist.,3SGNOM discover species new frog DEF scientist.
The teacher graded the tests last night.,3SGNOM grade DEF test DEF teacher night last.
The dog buried the bone in the backyard.,3SGNOM bury DEF bone DEF dog in DEF backyard.
Sarah baked a delicious cake for the party.,3SGNOM bake cake delicious Sarah for DEF party.
The students elected Sarah as class president.,3PLNOM elect Sarah DEF student as president class.
