sentence,label
He is the smartest student in our school.,be-PRES-3SGNOM he student-SING smart-SUP in school-SING our.
The new phone is twice as expensive as the old model.,be-PRES-3SGNOM DEF phone-SING twice expensive as DEF model-SING old.
Today is the hottest day of the year so far.,be-PRES-3SGNOM today DEF day-SING hot-SUP of DEF year-SING so far.
This exercise is the easiest one in the whole book.,be-PRES-3SGNOM exercise-SING this DEF one-SING easy-SUP in DEF book-SING whole.
This is the most delicious cake I've ever tasted.,be-PRES-3SGNOM this DEF cake-SING delicious-SUP REL taste-PAST-1SGNOM i ever.
The leaves fall from the trees in autumn.,fall-PRES-3PLNOM DEF leaf-PLUR from DEF tree-PLUR in autumn-SING.
The children played in the park.,play-PAST-3PLNOM DEF child-PLUR in DEF park-SING.
The wind blows strongly today.,blow-PRES-3SGNOM DEF wind-SING strongly today.
He lent his bicycle to his cousin.,lend-PAST-3SGNOM he bicycle-SING his to cousin-SING his.
The movie starts at eight o'clock.,start-PRES-3SGNOM DEF movie-SING at eight o'clock.
"We're going on vacation next week, so the office will be closed.","go-FUT-1PLNOM we on vacation-SING week-SING next, so be-FUT-3SGNOM DEF office-SING closed."
We've decided to go with a different contractor for this project.,decide-PAST-1PLNOM we go-INF with contractor-SING different for project-SING this.
Our country needs to address climate change together.,need-PRES-3SGNOM country-SING our address-INF change-SING climate together.
"We're moving to a new office, but your department will stay here.","move-FUT-1PLNOM we to office-SING new, but stay-FUT-3SGNOM department-SING your here."
"We're going to the movies later, want to join us?","go-FUT-1PLNOM we to DEF movie-PLUR later, want-PRES-2SGNOM join-INF us?"
She doesn't like spicy food.,NEG like-PRES-3SGNOM she food-SING spicy.
He isn't interested in playing sports.,NEG be-PRES-3SGNOM he interested in play sport-PLUR.
I can't swim very well.,NEG can-PRES-1SGNOM i swim very well.
The cat won't eat its food.,NEG eat-FUT-3SGNOM DEF cat-SING food-SING its.
The plants don't get enough sunlight here.,NEG get-PRES-3PLNOM DEF plant-PLUR sunlight-SING enough here.
The leaves rustled in the wind.,rustle-PAST-3PLNOM DEF leaf-PLUR in DEF wind-SING.
Many flowers bloom in the garden.,bloom-PRES-3PLNOM flower-PLUR many in DEF garden-SING.
We bought two loaves of bread.,buy-PAST-1PLNOM we two loaf-PLUR of bread.
The stars twinkled in the night sky.,twinkle-PAST-3PLNOM DEF star-PLUR in DEF sky-SING night.
We planted two tomato plants in the garden.,plant-PAST-1PLNOM we two plant-PLUR tomato in DEF garden-SING.
We found a treasure map in the attic.,find-PAST-1PLNOM we map-SING treasure in DEF attic-SING.
She wrote the letter with a blue pen.,write-PAST-3SGNOM she DEF letter-SING with pen-SING blue.
They built the sandcastle with plastic shovels.,build-PAST-3PLNOM they DEF sandcastle-SING with shovel-PLUR plastic.
The old man lived in a small cottage.,live-PAST-3SGNOM DEF man-SING old in cottage-SING small.
We had a picnic in the sunny meadow.,have-PAST-1PLNOM we picnic-SING in DEF meadow-SING sunny.
"The children built a snowman, and it melted the next day.","build-PAST-3PLNOM DEF child-PLUR snowman-SING, and melt-PAST-3SGNOM it DEF day-SING next."
"Thou art a true friend, always there when I need thee.","be-PRES-2SGNOM thou friend-SING true, always there when need-PRES-1SGNOM i thee."
The cat chased the mouse until it ran into a small hole.,chase-PAST-3SGNOM DEF cat-SING DEF mouse-SING until run-PAST-3SGNOM it into hole-SING small.
We saw them at the grocery store while shopping for vegetables.,see-PAST-1PLNOM we they at DEF store-SING grocery while shop-INF for vegetable-PLUR.
They invited us to their house for a delicious dinner party.,invite-PAST-3PLNOM they we to house-SING their for party-SING dinner delicious.
I have been waiting for the bus for 30 minutes.,wait-PRES-1SGNOM i for DEF bus-SING for 30 minute-PLUR.
I am going to start a new job next month.,start-FUT-1SGNOM i job-SING new month-SING next.
I used to play the piano when I was younger.,play-PAST-1SGNOM i DEF piano-SING when be-PAST-1SGNOM i young-COMP.
We went to the movies last night.,go-PAST-1PLNOM we to DEF movie-PLUR night-SING last.
They are playing soccer in the park.,play-PRES-3PLNOM they soccer-SING in DEF park-SING.
A new species of frog was discovered by the scientist.,discover-PAST-3SGNOM DEF scientist-SING species-SING new of frog-SING.
The teacher graded the tests last night.,grade-PAST-3SGNOM DEF teacher-SING DEF test-PLUR night-SING last.
The dog buried the bone in the backyard.,bury-PAST-3SGNOM DEF dog-SING DEF bone-SING in DEF backyard-SING.
Sarah baked a delicious cake for the party.,bake-PAST-3SGNOM Sarah cake-SING delicious for DEF party-SING.
The students elected Sarah as class president.,elect-PAST-3PLNOM DEF student-PLUR Sarah as president-SING class.
